職缺更新時間,職缺名稱,工作待遇,公司名稱,員工人數,工作經歷,擅長工具,產業類別,上班地點,工作待遇範圍,企業規模
10/19,軟體應用工程師(核心資訊部),40000,國泰綜合證券股份有限公司,900,3年以上,Java,證券及期貨業,雙北,"(30000, 40000]",大型企業
10/19,AI 產品應用開發 (Java) - 開發工程師  [資深]  ⟪智能產品研發部⟫,40000,網威智慧科技股份有限公司,200,3年以上,OOP、Java、JSP、Spring、MySQL、RDBMS、jQuery,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/23,開發程式設計師,60000,鴻宇科技服務有限公司,30,2年以上,iOS、ASP.NET、C#、Java、PHP、Python、Android,其它軟體及網路相關業,雙北,"(50000, 60000]",小型企業
10/18,【技術處】Java軟體工程師(台北/高雄)【可提供視訊面談方式】,40000,英特內軟體股份有限公司,90,1年以上,Java、Spring、MS SQL、Oracle,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/11,軟體工程師,40000,慧訊國際股份有限公司,100,1年以上,Java,網際網路相關業,雙北,"(30000, 40000]",中型企業
10/20,904 - 電子金融軟體工程師,40000,安泰商業銀行股份有限公司,1500,1年以上,Java、JSP、JavaScript,銀行業,雙北,"(30000, 40000]",大型企業
10/13,DevOps 工程師,40000,雄獅資訊科技股份有限公司,206,不拘,Linux、ASP.NET、C#、Java、HTML、JavaScript,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
09/26,Java Springboot Developer,60000,艾福提資訊有限公司,25000,3年以上,Java、Spring、PostgreSQL、HTML、CSS,電腦軟體服務業,雙北,"(50000, 60000]",大型企業
09/22,軟體工程師,45000,凱勝電訊有限公司,40,不拘,C++、Java、Python、MySQL,其他電信及通訊相關業,雙北,"(40000, 50000]",小型企業
10/18,D4000 JAVA應用開發工程師(搜尋/推薦) 【台中】,40000,富邦媒體科技股份有限公司(富邦momo),2900,1年以上,不拘,百貨相關業,雙北,"(30000, 40000]",大型企業
10/23,"《2023募集即戰工程師》Java, C#, .Net [全端/後端，正職，台北]",40000,精誠資訊股份有限公司,4200,1年以上,不拘,電腦系統整合服務業,雙北,"(30000, 40000]",大型企業
10/20,910-軟體工程師/資深工程師(新竹縣),34000,兆赫電子股份有限公司,800,不拘,Android、iOS、C、Java,其他電信及通訊相關業,新竹,"(30000, 40000]",大型企業
10/19,數位科技部-Android APP開發工程師,40000,元大證券投資信託股份有限公司,280,3年以上,Android、Git、Java,證券及期貨業,雙北,"(30000, 40000]",大型企業
10/26,(資深)SA系統分析師 (Sr.)System Analyst_台北,40000,昕力資訊股份有限公司,600,2年以上,ASP.NET、Java,電腦軟體服務業,雙北,"(30000, 40000]",大型企業
10/13,JAVA開發工程師,120000,フューテック株式会社,50,3年以上,MS SQL、HTML、JavaScript、jQuery、CSS,電腦軟體服務業,雙北,"(100000, 200000]",小型企業
10/27,後端工程師(高雄或屏東),35000,晶茂資訊科技股份有限公司,50,不拘,Java,電腦軟體服務業,屏東,"(30000, 40000]",小型企業
10/25,JAVA Engineer 開發工程師(GLXOKI),40000,台灣克羅瓦雷克斯股份有限公司,185,5年以上,Linux、Java、PostgreSQL,通訊機械器材相關業,其他,"(30000, 40000]",中型企業
10/12,前端開發工程師,40000,析數智匯股份有限公司,50,不拘,Java、RDBMS、HTML、JavaScript、jQuery、CSS、VueJS,電腦軟體服務業,雙北,"(30000, 40000]",小型企業
10/16,Android工程師,80000,萬通國際資訊有限公司,10,不拘,Android、Git、Java、Kotlin、CSS,電腦軟體服務業,雙北,"(70000, 80000]",小型企業
09/22,Low Code 軟體設計工程師(台北),40000,德鴻科技股份有限公司,99,1年以上,Windows Server 2012、Windows 10、Windows Server 2019、Java、MS SQL、MySQL、HTML、Excel、PowerPoint、Word,電腦軟體服務業,雙北,"(30000, 40000]",中型企業
10/27,Solutions Consultant,40000,Worldline_台灣源訊環球科技股份有限公司,50,不拘,Java,電腦系統整合服務業,雙北,"(30000, 40000]",小型企業
10/19,113年度研發替代役-後端與前端工程師,40000,大都會車隊股份有限公司,200,不拘,不拘,汽車客運業,雙北,"(30000, 40000]",中型企業
07/25,PA1469 機器學習專家工程師/高級工程師(內湖),36000,仁寶電腦工業股份有限公司,9000,不拘,Java、Python、R,電腦及其週邊設備製造業,雙北,"(30000, 40000]",大型企業
