職缺更新時間,職缺名稱,工作待遇,公司名稱,員工人數,工作經歷,擅長工具,產業類別,上班地點
10/19更新,"JAVA 軟體工程師(新莊全日)",待遇面議,全日物流股份有限公司,300人,不拘,Java,儲配／運輸物流業,雙北
10/15更新,後端JAVA工程師,"月薪50,000元以上",萬通國際資訊有限公司,10人,2年以上,Java、MySQL、HTML、JavaScript、jQuery,電腦軟體服務業,雙北
10/23更新,"Java Engineer(歡迎新鮮人)",待遇面議,晶要資訊有限公司,暫不提供,不拘,Java,多媒體相關業,台中
10/06更新,Java軟體設計工程師(高雄),"月薪32,000~55,000元",晶茂資訊科技股份有限公司,50人,1年以上,Java、JSP、HTML、JavaScript、jQuery、CSS,電腦軟體服務業,高雄
10/18更新,Java程式設計師(台北/新北),待遇面議,前進國際股份有限公司,80人,2年以上,"Java、Spring、Struts、MS SQL、Oracle、JavaScript、jQuery",電腦軟體服務業,雙北
09/26更新,"資深Java 工程師 Senior Java Developer","月薪60,000元以上",賽鐸股份有限公司,25人,2年以上,Linux、Java、Spring、MySQL、HTML、JavaScript、CSS,其它軟體及網路相關業,台中
10/04更新,Java資深工程師,待遇面議,越世實業股份有限公司,60人,不拘,Servlets、AJAX、Java、Spring、Struts、HTML、J2EE、J2SE、JavaScript、jQuery、SOAP,其它軟體及網路相關業,雙北
10/25更新,JAVA軟體工程師,"月薪40,000~80,000元",裕融企業股份有限公司,700人,2年以上,AJAX、Java、JSP、Spring、JavaScript、jQuery,其他汽機車相關業,雙北
10/23更新,"Java Developer",待遇面議,云智資訊股份有限公司,暫不提供,2年以上,不拘,其它軟體及網路相關業,雙北
10/11更新,Java軟體工程師,待遇面議,碩網資訊股份有限公司,130人,不拘,"Java、MS SQL、HTML、J2EE",網際網路相關業,雙北
10/20更新,"Java 副工程師","月薪36,000元",華擎軟體科技有限公司,40人,不拘,Java,電腦系統整合服務業,雙北
10/11更新,JAVA程式設計師,"月薪32,000~42,000元",聯邦商業銀行股份有限公司,3900人,不拘,不拘,銀行業,雙北
10/02更新,"[IOT] 軟體 工程師 (Java, Python, LabVIEW) - 台北或新竹",待遇面議,動力安全資訊股份有限公司,300人,不拘,Linux、Android、iOS、Java、LabVIEW,電腦系統整合服務業,雙北
10/24更新,"Java /Golang 後端工程師 Back-end Engineer",待遇面議,蓋亞資訊有限公司,100人,3年以上,"Java、MS SQL、PostgreSQL",電腦軟體服務業,雙北
10/02更新,【企業系統部】JAVA工程師-台中,"月薪40,000元以上",錠嵂保險經紀人股份有限公司,2220人,2年以上,Java、JSP、PL/SQL,人身保險業,台中
10/24更新,Java軟體工程師,待遇面議,潤新資訊股份有限公司,暫不提供,1年以上,Git、Java、Spring,電腦軟體服務業,雙北
09/19更新,"Junior JAVA工程師","月薪40,000元以上",經貿聯網科技股份有限公司,150人,不拘,Java,網際網路相關業,雙北
10/26更新,"Java 全端軟體工程師",待遇面議,網飛訊科技股份有限公司,30人,3年以上,"Java、Spring、MS SQL、Oracle、VueJS",電腦軟體服務業,雙北
10/18更新,JAVA程式設計師,待遇面議,特力集團_特力股份有限公司,1000人,不拘,Java,綜合商品批發代理業,雙北
10/28更新,Java程式設計師,待遇面議,新加坡商認和科技有限公司台灣分公司,6人,2年以上,Linux、Java、Spring、MySQL、Oracle,電腦軟體服務業,雙北
